date,home_time,recreational_activities,school_time,travel_time,shopping,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names
27:04:2013,88800.0,0.0,3600.0,0.0,0.0,0.0,0.0,5,0.0,0.0,42,"Dartmouth College,Dartmouth Hall,Dartmouth Hall,Ripley Hall"
27:05:2013,30000.0,0.0,66506.0,1200.0,0.0,0.0,0.0,0,0.0,3900.0,42,"0,Sudikoff Hall,Sudikoff Hall,Ripley Hall"
28:04:2013,77926.0,0.0,9599.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,42,"Ripley Hall,Ripley Hall,Ripley Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Ripley Hall"
28:05:2013,67202.0,0.0,14400.0,0.0,0.0,0.0,1199.0,1,0.0,6600.0,42,"Ripley Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sphinx Secret Society,Ripley Hall"
29:03:2013,57600.0,3599.0,8400.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,42,"Sudikoff Hall,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College"
29:04:2013,70875.0,3600.0,2400.0,0.0,2400.0,0.0,0.0,0,1.0,3900.0,42,"Ripley Hall,Ripley Hall,Ripley Hall,Observatory Road,Alumni Gymnasium,Ripley Hall,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth Hall,Ripley Hall,Ripley Hall,Dartmouth College"
29:05:2013,70800.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,42,"Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Middle Fayerweather Hall,Ripley Hall"
30:03:2013,79202.0,7198.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,42,"Dartmouth College,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts"
30:04:2013,66000.0,0.0,19200.0,0.0,0.0,0.0,0.0,1,0.0,6600.0,42,"Dartmouth College,Dartmouth Hall,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall"
31:03:2013,88800.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,42,"Ripley Hall,Ripley Hall,Ripley Hall"
