date,home_time,orthers,recreational_activities,school_time,travel_time,shopping,working,date_in_week,cut_class,class_schedule,volunteer,location_names
16:04:2013,80383.0,0.0,0.0,2309.0,2508.0,0.0,0.0,1,0.0,0.0,47,"Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College,South Block Parking Garage,South Block Parking Garage,Collis Student Center,Dartmouth College,Dartmouth College,French Hall,French Hall,Dartmouth College"
16:05:2013,82711.0,3600.0,2400.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,47,"Dartmouth College,Baker Memorial Library,0,0,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Judge Hall,Judge Hall,French Hall,French Hall,Dartmouth College"
17:04:2013,61181.0,0.0,22800.0,3619.0,0.0,0.0,0.0,2,1.0,7800.0,47,"Dartmouth College,0,Baker Memorial Library,Berry Library,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,French Hall,Haldeman Center"
17:05:2013,68489.0,0.0,0.0,1200.0,0.0,0.0,0.0,4,1.0,6000.0,47,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,French Hall"
18:04:2013,80400.0,0.0,2400.0,3600.0,0.0,0.0,0.0,3,1.0,7800.0,47,"Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Collis Student Center,Collis Student Center,McCulloch Hall,Brace Commons,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,French Hall,French Hall,French Hall"
18:05:2013,73722.0,0.0,7230.0,3406.0,0.0,0.0,0.0,5,0.0,0.0,47,"French Hall,Collis Student Center,Collis Student Center,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Collis Student Center,South Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,French Hall"
19:04:2013,68386.0,0.0,2693.0,11939.0,2400.0,0.0,0.0,4,0.0,6000.0,47,"French Hall,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Zahm Courtyard,Zahm Courtyard,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Haldeman Center"
19:05:2013,84448.0,1200.0,0.0,0.0,1200.0,0.0,0.0,-1,0.0,0.0,47,"French Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,French Hall"
20:04:2013,62345.0,4800.0,13268.0,2428.0,2271.0,0.0,1200.0,5,0.0,0.0,47,"Haldeman Center,Baker Memorial Library,Baker Memorial Library,Chi Heorot,Dartmouth College,Blunt Alumni Center,Dartmouth College,Topliff Courts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,Judge Hall,Channing Cox Parking Lot,French Hall,French Hall,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
20:05:2013,75524.0,3619.0,3657.0,2400.0,0.0,0.0,0.0,0,1.0,7800.0,47,"French Hall,0,0,0,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,The Church of Christ at Dartmouth College,Collis Student Center,Judge Hall,French Hall"
21:04:2013,50419.0,0.0,39600.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,47,"Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Hopkins Center for the Arts,Dartmouth College,Berry Library,Dartmouth College,French Hall"
21:05:2013,74302.0,1200.0,2430.0,9570.0,0.0,0.0,0.0,1,0.0,0.0,47,"French Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Jewel of India,Jewel of India,0,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,French Hall,Dartmouth College"
