,tnv,distance,velocity,accelerate,hour in date,min in date,moving,inactive,time_difference
14445,19,257.29730989451537,0.107207212456048,4.466967185668669e-05,22,29,True,1.0,40.0
14446,19,3.980614479856705,0.0033171787332139,2.764315611011601e-06,23,9,False,0.0,40.0
14447,19,58.81694451892988,0.0490141204324415,4.084510036036798e-05,23,29,True,1.0,20.0
14448,19,98.92509387351406,0.0824375782279283,6.869798185660699e-05,7,29,True,1.0,20.0
14449,19,163.30787077168344,0.1358634532210344,0.0001130311590857,9,30,True,1.0,21.0
14450,19,65.48086893450724,0.054658488259188,4.562478151852088e-05,9,49,True,1.0,19.0
14451,19,605.292924132655,0.5044107701105458,0.0004203423084254,19,49,True,1.0,20.0
14452,19,21.46834119153552,0.0178902843262796,1.4908570271899666e-05,20,9,True,1.0,20.0
14453,19,0.97458541230897,0.0008121545102574,6.767954252145626e-07,20,29,False,0.0,20.0
14454,19,150.76790131010742,0.1256399177584228,0.0001046999314653,20,49,True,1.0,20.0
14455,19,436.07647488798,0.36339706240665,0.0003028308853388,21,9,True,1.0,20.0
14456,19,236.1745399687326,0.1968121166406105,0.0001640100972005,1,9,True,1.0,20.0
14457,19,224.31099602625216,0.1873943158114053,0.0001565533131256,2,49,True,1.0,20.0
14458,19,568.9957431108853,0.4581286176416146,0.0003688636212895,4,29,True,1.0,20.0
14459,19,5.3396231068687,0.0044496859223905,3.708071601992153e-06,5,9,False,0.0,40.0
14460,19,29.71385713848802,0.0248651524171447,2.080765892648099e-05,5,29,True,1.0,20.0
14461,19,252.974994914904,0.2097636773755422,0.0001739333974921,5,49,True,1.0,20.0
14462,19,277.9033905548634,0.2317793082192355,0.0001933105156123,6,9,True,1.0,20.0
14463,19,27.42506695174683,0.022854222459789,1.9045185383157523e-05,8,9,True,1.0,20.0
14464,19,5.325786367501206,0.004438155306251,3.6984627552091713e-06,8,29,False,0.0,20.0
14465,19,53.43625238654521,0.044530210322121,3.710850860176751e-05,8,49,True,1.0,20.0
14466,19,592.2388144869769,0.4931214108967335,0.0004105923487899,20,9,True,1.0,20.0
14467,19,1.990350464334108,0.001658625386945,1.3821878224542413e-06,20,49,False,0.0,40.0
14468,19,804.8295352675657,0.6706912793896381,0.0005589093994913,21,9,True,1.0,20.0
14469,19,0.0823565935525665,6.86304946271388e-05,5.7192078855949007e-08,21,49,False,0.0,40.0
