date,home_time,recreational_activities,school_time,travel_time,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
23:05:2013,129600.0,0.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,28,"Dartmouth College,Dartmouth College,Ripley Hall"
24:04:2013,79634.0,2400.0,0.0,1199.0,0.0,0.0,2,1.0,11700.0,28,"Dartmouth College,Ripley Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Ripley Hall,Ripley Hall,Ripley Hall"
24:05:2013,154835.0,0.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,28,Ripley Hall
25:04:2013,73997.0,0.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,28,"Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Ripley Hall,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
26:04:2013,86697.0,0.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
26:05:2013,80402.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,28,Ripley Hall
27:04:2013,94800.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,28,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College"
27:05:2013,64477.0,0.0,3600.0,0.0,0.0,0.0,0,1.0,11700.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Sudikoff Hall"
28:03:2013,1202.0,0.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,28,Life Sciences Greenhouse
28:04:2013,94800.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,28,"Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall"
28:05:2013,55202.0,1197.0,33602.0,0.0,0.0,0.0,1,0.0,3900.0,28,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Berry Library,Dartmouth College,Ripley Hall,Ripley Hall"
29:03:2013,82799.0,1199.0,2400.0,0.0,0.0,0.0,4,1.0,9000.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Hopkins Center for the Arts,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
29:04:2013,67201.0,1200.0,1199.0,0.0,0.0,0.0,0,1.0,11700.0,28,"Hopkins Center for the Arts,Ripley Hall,Dartmouth College,Ripley Hall,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Vail,Dartmouth College,Dartmouth College,Dartmouth College"
29:05:2013,17999.0,0.0,62402.0,2399.0,0.0,0.0,2,0.0,11700.0,28,"Dartmouth College,Sudikoff Hall,0,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall"
30:03:2013,4802.0,0.0,92398.0,0.0,0.0,0.0,5,0.0,0.0,28,"Dartmouth College,Dartmouth College,Wentworth Hall"
30:04:2013,91200.0,0.0,0.0,0.0,0.0,0.0,1,1.0,3900.0,28,"Ripley Hall,Dartmouth College,Ripley Hall,Dartmouth College,Ripley Hall,Dartmouth College,Ripley Hall,Dartmouth College,Ripley Hall,Ripley Hall"
30:05:2013,85200.0,0.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,28,"Dartmouth College,Ripley Hall,Dartmouth College,Ripley Hall"
31:03:2013,95999.0,3600.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,28,"Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall"
31:05:2013,97810.0,0.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,28,"Dartmouth College,Ripley Hall"
