date,home_time,school_time,orthers,recreational_activities,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
22:05:2013,77013.0,0.0,0.0,20400.0,0.0,0.0,2,1.0,14400.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Berry Library"
23:04:2013,84000.0,0.0,0.0,1200.0,0.0,0.0,1,1.0,10500.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
23:05:2013,70802.0,3599.0,0.0,1200.0,0.0,0.0,3,1.0,6900.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Life Sciences Greenhouse,Carpenter Hall"
24:04:2013,96000.0,4800.0,0.0,3600.0,0.0,0.0,2,1.0,14400.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Dartmouth College"
24:05:2013,80400.0,2399.0,0.0,10800.0,0.0,0.0,4,1.0,6000.0,11,"Carpenter Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College"
25:04:2013,64800.0,0.0,0.0,3600.0,0.0,0.0,3,1.0,6900.0,11,"Hopkins Center for the Arts,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse"
25:05:2013,64800.0,0.0,0.0,19200.0,0.0,0.0,5,0.0,0.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Berry Library"
26:04:2013,86400.0,0.0,0.0,1200.0,0.0,0.0,4,1.0,6000.0,11,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
26:05:2013,28798.0,0.0,0.0,54002.0,0.0,0.0,-1,0.0,0.0,11,"Berry Library,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College"
27:04:2013,79200.0,12000.0,0.0,1200.0,0.0,0.0,5,0.0,0.0,11,"Dartmouth College,Dartmouth College,Sudikoff Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
