date,home_time,recreational_activities,school_time,shopping,travel_time,working,orthers,date_in_week,volunteer,location_names
21:04:2013,44574.0,0.0,37858.0,0.0,2400.0,0.0,0.0,-1,58,"0,Dartmouth College,Dartmouth College,Carson Hall,Dartmouth College,Native American House,Native American House,Dartmouth College,Dartmouth College,Native American House,Dartmouth College"
21:05:2013,70785.0,8276.0,13802.0,0.0,0.0,604.0,0.0,1,58,"Dartmouth College,Dartmouth College,Phi Tau,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
22:04:2013,44454.0,9651.0,34691.0,0.0,0.0,0.0,0.0,0,58,"Dartmouth College,Carson Hall,Carson Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Berry Library,Dartmouth College,Native American House,Native American House,Dartmouth College,Native American House,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall"
22:05:2013,39056.0,10800.0,25489.0,0.0,0.0,0.0,0.0,2,58,"Sudikoff Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Collis Student Center,Robinson Hall"
23:04:2013,230712.0,5947.0,8240.0,0.0,0.0,0.0,0.0,1,58,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Alumni Gymnasium,Native American House,Dartmouth College,Native American House,Dartmouth College,Collis Student Center,Dartmouth College"
23:05:2013,58737.0,2400.0,23400.0,0.0,1780.0,0.0,0.0,3,58,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College"
24:05:2013,20385.0,4204.0,132203.0,0.0,0.0,0.0,0.0,4,58,"Collis Student Center,Collis Student Center,Collis Student Center,Dartmouth College,Sudikoff Hall,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall"
25:04:2013,12044.0,0.0,4861.0,0.0,0.0,0.0,0.0,3,58,"Native American House,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse"
25:05:2013,8320.0,0.0,9680.0,0.0,0.0,0.0,0.0,5,58,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
26:04:2013,61379.0,2403.0,20352.0,0.0,0.0,0.0,0.0,4,58,"0,0,Dartmouth College,Dartmouth College,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Native American House,Native American House,Dartmouth College,Native American House,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Dartmouth College"
26:05:2013,63544.0,6600.0,27658.0,0.0,0.0,0.0,0.0,-1,58,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Moore Psychology Building,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Sudikoff Hall,Class of 1953 Commons,Dartmouth College,Sudikoff Hall"
27:03:2013,2396.0,0.0,10844.0,0.0,0.0,0.0,0.0,2,58,"Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Collis Student Center,Collis Student Center,Dartmouth College"
27:04:2013,42096.0,0.0,41839.0,0.0,0.0,0.0,0.0,5,58,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Native American House,Collis Student Center,Collis Student Center,Morton Hall,Dartmouth College,Native American House,Native American House,Native American House,Native American House,Native American House,Dartmouth College,Dartmouth College,Dartmouth College"
27:05:2013,6115.0,7625.0,104627.0,0.0,0.0,0.0,0.0,0,58,"Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Sudikoff Hall,Dartmouth College,Sudikoff Hall"
28:03:2013,67251.0,7205.0,11902.0,0.0,0.0,0.0,0.0,3,58,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Alumni Gymnasium,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,72212.0,0.0,22484.0,0.0,0.0,0.0,0.0,-1,58,"Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Native American House,Dartmouth College,Native American House,Dartmouth College"
28:05:2013,17400.0,0.0,26401.0,0.0,0.0,0.0,0.0,1,58,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Collis Student Center"
29:03:2013,78071.0,2401.0,5974.0,0.0,0.0,0.0,0.0,4,58,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alumni Gymnasium,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College"
29:04:2013,54201.0,1161.0,25142.0,0.0,0.0,1200.0,0.0,0,58,"Native American House,Native American House,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Alpha Theta,Sudikoff Hall,Native American House,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,McCulloch Hall,Native American House,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
29:05:2013,21245.0,1206.0,65456.0,0.0,0.0,0.0,0.0,2,58,"Collis Student Center,Sudikoff Hall,Hopkins Center for the Arts,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
30:03:2013,74088.0,8437.0,3290.0,0.0,0.0,0.0,0.0,5,58,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Haldeman Center,Alumni Gymnasium,Alumni Gymnasium,Class of 1953 Commons,Dartmouth College"
30:04:2013,24216.0,0.0,64050.0,0.0,0.0,0.0,0.0,1,58,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Native American House,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Native American House,Dartmouth College,Native American House,Native American House,Dartmouth College,Native American House,Dartmouth College,Native American House,Native American House,Dartmouth College,Native American House,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
30:05:2013,23461.0,0.0,59302.0,0.0,0.0,0.0,0.0,3,58,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Collis Student Center,Dartmouth College,Sudikoff Hall"
31:03:2013,60000.0,10800.0,24099.0,0.0,0.0,0.0,0.0,-1,58,"Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Hopkins Center for the Arts,Collis Student Center,Collis Student Center,Dartmouth College"
31:05:2013,10893.0,0.0,31744.0,0.0,0.0,0.0,0.0,4,58,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall"
