date,home_time,orthers,recreational_activities,school_time,working,travel_time,shopping,date_in_week,volunteer,location_names
20:05:2013,47979.0,2421.0,0.0,33602.0,0.0,1198.0,0.0,0,47,"0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,0,Collis Student Center,Dartmouth College,Dartmouth College"
21:04:2013,89996.0,0.0,2425.0,0.0,0.0,0.0,0.0,-1,47,"0,Dartmouth College,New Hampshire Hall,Dartmouth College,Hopkins Center for the Arts,New Hampshire Hall,Dartmouth College,Dartmouth College"
21:05:2013,33577.0,1200.0,2430.0,23895.0,24000.0,1200.0,0.0,1,47,"Dartmouth College,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Collis Student Center,Collis Student Center,Jewel of India,Jewel of India,Martha E. Diebold Real Estate,Collis Student Center,Collis Student Center,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Sudikoff Hall"
22:04:2013,32399.0,1200.0,3598.0,12000.0,37201.0,0.0,0.0,0,47,"Sushiya,Nugget Arcade,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Haldeman Center,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
22:05:2013,51222.0,2400.0,0.0,4898.0,69710.0,0.0,0.0,2,47,"Sudikoff Hall,Collis Student Center,0,Sigma Alpha Epsilon Fraternity,Class of 1953 Commons,Sarner Underground,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity"
23:04:2013,60018.0,0.0,3600.0,0.0,11999.0,5987.0,0.0,1,47,"Dartmouth College,Zahm Courtyard,New Hampshire Hall,Alumni Gymnasium,Alumni Gymnasium,New Hampshire Hall,New Hampshire Hall,Amarna,Kappa Kappa Gamma,Kappa Kappa Gamma,Amarna,0,New Hampshire Hall,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College"
23:05:2013,47977.0,0.0,0.0,0.0,0.0,0.0,0.0,3,47,Dartmouth College
24:04:2013,81803.0,6000.0,0.0,1186.0,7200.0,0.0,0.0,2,47,"Collis Student Center,Dartmouth College,Sigma Alpha Epsilon Fraternity,0,Dartmouth College,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
24:05:2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,47,Sudikoff Hall
25:04:2013,66206.0,0.0,1299.0,1198.0,10719.0,2384.0,0.0,3,47,"Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Hanover High School,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Zahm Courtyard,Zahm Courtyard,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
26:04:2013,72097.0,0.0,4800.0,2400.0,0.0,0.0,0.0,4,47,"Dartmouth College,Hopkins Center for the Arts,0,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Haldeman Center,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
27:04:2013,12408.0,0.0,16364.0,4847.0,0.0,58377.0,0.0,5,47,"Haldeman Center,Haldeman Center,Anonymous Hall,New Hampshire Hall,Collis Student Center,0,Dartmouth College,New Hampshire Hall,0,0,0,0,0,0,0,0,0,0,0"
28:04:2013,45771.0,0.0,7894.0,0.0,0.0,40437.0,0.0,-1,47,"Universel Déjeuners et Grillades,0,P1,P1,P1,Place Marie-Victorin,0,0,Universel Déjeuners et Grillades,0,0,0,0,0,0,0"
29:04:2013,38400.0,0.0,1200.0,42000.0,2400.0,0.0,0.0,0,47,"Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Sudikoff Hall,Carson Hall,Dartmouth College,Sudikoff Hall"
30:04:2013,71318.0,0.0,0.0,0.0,10763.0,0.0,0.0,1,47,"Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College"
