date,home_time,orthers,recreational_activities,school_time,travel_time,working,shopping,date_in_week,volunteer,location_names
27:04:2013,65862.0,0.0,9589.0,8845.0,0.0,7198.0,0.0,5,60,"Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Berry Library,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Beta Alpha Omega,Dartmouth College,Beta Alpha Omega,Beta Alpha Omega,Collis Student Center,Dartmouth College"
27:05:2013,59401.0,1199.0,7799.0,12602.0,0.0,0.0,0.0,0,60,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dick's House"
28:03:2013,34714.0,0.0,6000.0,44485.0,1201.0,0.0,0.0,3,60,"Hopkins Center for the Arts,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Robinson Hall,Robinson Hall,Dartmouth College,Robinson Hall,Collis Student Center,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Wentworth Hall,Wentworth Hall,Robinson Hall,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,71513.0,0.0,0.0,11448.0,0.0,0.0,0.0,-1,60,"Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
28:05:2013,60739.0,1068.0,6000.0,11998.0,5401.0,599.0,0.0,1,60,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Sushiya,0,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Berry Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Sphinx Secret Society,0,Dartmouth College,Dartmouth College,Wentworth Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Dick's House"
29:03:2013,37230.0,0.0,0.0,49170.0,0.0,0.0,0.0,4,60,"Robinson Hall,Dartmouth College,Dartmouth College,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Collis Student Center,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall,Wentworth Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Robinson Hall"
29:04:2013,31200.0,0.0,12000.0,40799.0,0.0,0.0,0.0,0,60,"Berry Library,Class of 1953 Commons,Collis Student Center,Collis Student Center,Robinson Hall,Robinson Hall,Sudikoff Hall,Dartmouth College,Wentworth Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
29:05:2013,67531.0,0.0,0.0,27359.0,1200.0,0.0,0.0,2,60,"Maynard Parking Lot,Robinson Hall,Dartmouth College,Dartmouth College,Collis Student Center,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
30:03:2013,82486.0,0.0,5998.0,1202.0,0.0,1347.0,0.0,5,60,"Class of 1953 Commons,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hood Museum of Art,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Nu Delta Beta,Dartmouth College,Dartmouth College"
30:04:2013,22621.0,0.0,3600.0,63801.0,0.0,0.0,0.0,1,60,"Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Wentworth Hall,Dartmouth College"
30:05:2013,56250.0,0.0,3600.0,17393.0,0.0,0.0,0.0,3,60,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall,Dartmouth Hall,Dartmouth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Jewel of India"
31:03:2013,48000.0,0.0,7200.0,33756.0,0.0,0.0,0.0,-1,60,"Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Robinson Hall,Class of 1953 Commons,Dartmouth College"
31:05:2013,48335.0,2400.0,13936.0,22200.0,0.0,0.0,0.0,4,60,"Jewel of India,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Parker House,Winfred-Raven House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Nugget Arcade"
